fight_id,boss,loadout,difficulty,outcome,duration_s,n_events,recorded_utc
2025-09-23T09-11-57Z_17900,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,81.978,322,2025-09-23T09:13:19.879065+00:00
2025-09-23T09-13-22Z_2834,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,53.928,152,2025-09-23T09:14:16.762621+00:00
2025-09-23T09-14-21Z_61346,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,76.829,312,2025-09-23T09:15:38.176093+00:00
2025-09-23T09-15-38Z_38945,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,86.889,304,2025-09-23T09:17:05.835125+00:00
2025-09-23T09-17-49Z_69227,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,79.754,282,2025-09-23T09:19:08.982771+00:00
2025-09-23T09-19-10Z_50734,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,88.299,320,2025-09-23T09:20:39.034573+00:00
2025-09-23T09-20-42Z_42421,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,26.474,88,2025-09-23T09:21:08.895410+00:00
2025-09-23T09-21-11Z_71374,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,104.674,382,2025-09-23T09:22:56.048528+00:00
2025-09-23T09-22-58Z_78280,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,116.457,470,2025-09-23T09:24:54.739648+00:00
2025-09-23T09-24-58Z_98373,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,55.44,184,2025-09-23T09:25:53.814093+00:00
2025-09-23T09-25-56Z_56207,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,61.829,228,2025-09-23T09:26:58.036768+00:00
2025-09-23T09-26-59Z_19618,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,82.998,300,2025-09-23T09:28:22.616534+00:00
2025-09-23T09-28-39Z_19556,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,92.228,328,2025-09-23T09:30:11.784902+00:00
2025-09-23T09-30-17Z_17544,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,41.48,146,2025-09-23T09:30:59.024159+00:00
2025-09-23T09-31-01Z_61712,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,61.367,230,2025-09-23T09:32:03.076547+00:00
2025-09-23T09-32-51Z_71751,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,84.007,292,2025-09-23T09:34:15.758498+00:00
2025-09-23T09-36-54Z_14870,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,32.283,86,2025-09-23T09:37:27.155979+00:00
2025-09-23T09-37-29Z_49398,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,87.027,336,2025-09-23T09:38:56.424778+00:00
2025-09-23T09-38-58Z_38145,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,93.805,308,2025-09-23T09:40:31.951206+00:00
2025-09-23T09-42-00Z_20489,Grim Matchstick,Peashooter + Smoke Bomb,Regular,lose,94.381,346,2025-09-23T09:43:34.871914+00:00
